School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Maryville,28.22,24.11,52.33,1,1,1
Center,22.21,19.87,42.08,2,3,2
Richmond,17.73,20.18,37.91,4,2,3
Monett,18.39,19.32,37.7,3,4,4
Chillicothe,12.71,15.7,28.41,8,5,5
McCluer South-Berkeley,11.34,14.84,26.19,10,6,6
Blair Oaks,14.51,10.97,25.48,6,12,7
Cassville,12.51,12.35,24.86,9,10,8
Odessa,6.35,13.98,20.33,17,8,9
Mt. Vernon,13.95,5.36,19.31,7,21,10
Oak Grove,6.6,11.33,17.93,15,11,11
St. Pius X (Kansas City),4.03,13.66,17.69,21,9,12
Owensville,16.63,-0.57,16.05,5,33,13
Mexico,5.13,10.82,15.95,20,13,14
Reeds Spring,7.19,7.84,15.03,13,16,15
Miller Career Academy,0.89,14.04,14.94,26,7,16
Clinton,10.73,3.79,14.52,11,26,17
Pleasant Hill,3.34,8.05,11.39,22,15,18
Central (Park Hills),5.77,5.5,11.27,19,20,19
St. Charles West,1.96,9.0,10.97,24,14,20
Orchard Farm,1.8,7.78,9.57,25,18,21
Osage,6.49,2.96,9.45,16,27,22
Southern Boone,6.62,-0.07,6.55,14,32,23
John Burroughs,2.35,4.0,6.35,23,23,24
Springfield Catholic,-1.19,6.37,5.19,31,19,25
Eldon,-0.91,4.77,3.86,29,22,26
Lutheran St. Charles,10.2,-6.35,3.85,12,48,27
Aurora,-1.72,3.98,2.26,34,24,28
Seneca,-1.15,1.24,0.09,30,29,29
Lutheran South,6.23,-6.31,-0.09,18,47,30
Sullivan,-8.07,7.79,-0.28,48,17,31
Ste. Genevieve,-1.28,0.52,-0.76,33,31,32
Hogan Prep Academy Charter,0.22,-1.7,-1.48,27,36,33
Potosi,-6.63,2.68,-3.96,45,28,34
Vashon,-1.2,-3.03,-4.23,32,41,35
Kennett,-0.55,-3.75,-4.3,28,42,36
St. James,-5.69,1.18,-4.51,40,30,37
Fulton,-2.6,-2.81,-5.41,35,40,38
Pembroke Hill,-9.85,3.93,-5.92,53,25,39
East Newton,-2.75,-3.83,-6.58,36,43,40
Jennings,-6.07,-1.36,-7.44,42,35,41
Boonville,-5.59,-2.72,-8.31,39,39,42
Salem,-8.91,-1.78,-10.7,51,37,43
Normandy Collaborative,-9.8,-2.69,-12.49,52,38,44
Soldan International Studies,-6.81,-5.73,-12.53,46,45,45
Logan-Rogersville,-6.47,-6.17,-12.65,44,46,46
Hollister,-7.1,-6.62,-13.72,47,49,47
Duchesne,-12.6,-1.26,-13.86,57,34,48
Veritas Christian Academy,-4.16,-9.94,-14.1,38,51,49
Confluence Prep Academy Charter,-11.3,-4.18,-15.48,56,44,50
Lincoln College Prep,-5.89,-11.97,-17.86,41,53,51
Central (Kansas City),-3.7,-17.03,-20.73,37,57,52
Cameron,-10.29,-12.61,-22.9,54,54,53
Buffalo,-8.72,-15.12,-23.84,50,56,54
Fredericktown,-10.55,-14.21,-24.76,55,55,55
Dexter,-18.23,-6.74,-24.97,58,50,56
Winfield,-6.2,-27.94,-34.13,43,60,57
Southeast,-24.73,-11.11,-35.84,59,52,58
Central (New Madrid County),-8.7,-30.4,-39.09,49,62,59
Wright City,-25.81,-23.16,-48.96,60,59,60
Lift for Life Academy Charter,-30.99,-18.89,-49.88,62,58,61
Roosevelt,-26.9,-30.28,-57.18,61,61,62
