School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,35.08,27.27,62.35,1,3,1
Rockhurst,18.32,40.82,59.14,16,1,2
Blue Springs,32.8,26.21,59.01,3,6,3
Kirkwood,25.84,33.15,58.98,7,2,4
Lee's Summit West,27.06,25.2,52.26,5,7,5
SLUH,22.78,27.03,49.81,9,4,6
Hazelwood Central,25.99,22.78,48.77,6,9,7
Raymore-Peculiar,21.81,26.62,48.43,10,5,8
Lee's Summit,29.66,18.6,48.26,4,16,9
Park Hill,23.19,24.5,47.69,8,8,10
Jefferson City,34.37,13.11,47.49,2,18,11
Eureka,19.68,22.17,41.85,13,10,12
Blue Springs South,19.89,21.33,41.23,12,12,13
Kickapoo,18.41,21.53,39.94,15,11,14
Marquette,17.31,20.51,37.83,17,13,15
Lafayette (Wildwood),16.79,18.73,35.52,18,15,16
Ritenour,19.29,15.51,34.8,14,17,17
Francis Howell,12.09,19.93,32.03,20,14,18
Ft. Zumwalt West,20.82,8.85,29.67,11,23,19
Lee's Summit North,15.76,12.57,28.33,19,19,20
De Smet Jesuit,10.01,8.4,18.41,22,24,21
Rock Bridge,8.7,9.68,18.38,24,21,22
Fox,3.86,10.29,14.14,26,20,23
Joplin,10.22,0.57,10.79,21,28,24
Lindbergh,2.89,5.94,8.83,27,25,25
Mehlville,-1.8,9.39,7.59,30,22,26
Troy Buchanan,5.92,-0.41,5.51,25,29,27
Hazelwood West,-0.72,5.55,4.83,29,26,28
Francis Howell Central,8.71,-5.88,2.82,23,31,29
Northwest (Cedar Hill),0.04,-1.96,-1.92,28,30,30
McCluer North,-5.29,2.84,-2.46,31,27,31
Seckman,-20.25,-12.12,-32.37,32,32,32
